Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Apr ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,65 ,58.3 ,50 ,54 ,49.4 ,44 ,89 ,73.0 ,56 ,12 ,4.6 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
2 ,66 ,58.8 ,54 ,55 ,52.0 ,48 ,97 ,79.4 ,54 ,14 ,7.1 ,0 ,29.9 ,29.8 ,29.8 ,0.05 
3 ,62 ,57.4 ,54 ,54 ,50.7 ,48 ,93 ,78.8 ,62 ,12 ,5.8 ,0 ,30.0 ,30.0 ,29.9 ,0.03 
4 ,62 ,57.2 ,54 ,52 ,49.8 ,48 ,87 ,76.5 ,62 ,15 ,8.3 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
5 ,64 ,57.4 ,53 ,53 ,50.5 ,48 ,93 ,78.1 ,60 ,13 ,7.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
6 ,69 ,59.9 ,53 ,54 ,50.7 ,47 ,89 ,72.8 ,47 ,17 ,8.0 ,0 ,30.2 ,30.0 ,30.0 ,0.04 
7 ,74 ,62.6 ,53 ,58 ,54.9 ,51 ,96 ,77.2 ,57 ,15 ,7.5 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
8 ,73 ,64.1 ,56 ,59 ,57.3 ,55 ,97 ,79.8 ,59 ,15 ,6.7 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
9 ,66 ,58.1 ,54 ,56 ,48.7 ,45 ,90 ,72.4 ,47 ,23 ,10.1 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
10 ,69 ,58.2 ,48 ,51 ,44.7 ,40 ,89 ,63.7 ,36 ,18 ,12.3 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
11 ,63 ,55.8 ,50 ,51 ,47.1 ,45 ,89 ,73.7 ,52 ,22 ,9.2 ,0 ,30.2 ,30.1 ,30.0 ,0.00 
12 ,70 ,57.7 ,47 ,51 ,47.2 ,44 ,90 ,70.0 ,42 ,15 ,8.2 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
13 ,76 ,60.5 ,49 ,53 ,48.6 ,46 ,90 ,68.5 ,37 ,15 ,5.9 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
14 ,66 ,56.2 ,50 ,54 ,48.9 ,40 ,93 ,77.1 ,59 ,18 ,7.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
15 ,65 ,55.0 ,50 ,50 ,42.8 ,34 ,89 ,65.3 ,37 ,16 ,5.0 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
16 ,65 ,55.5 ,50 ,51 ,48.0 ,44 ,100 ,77.0 ,52 ,16 ,8.5 ,0 ,30.1 ,29.9 ,29.9 ,0.08 
17 ,73 ,59.7 ,48 ,55 ,49.0 ,45 ,93 ,71.1 ,37 ,14 ,6.0 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
18 ,81 ,65.7 ,51 ,58 ,53.0 ,47 ,89 ,65.9 ,40 ,10 ,4.8 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
19 ,75 ,63.4 ,55 ,58 ,54.2 ,52 ,90 ,73.5 ,51 ,15 ,6.6 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
20 ,64 ,57.8 ,53 ,53 ,49.4 ,45 ,87 ,74.5 ,54 ,20 ,9.1 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
21 ,70 ,57.4 ,47 ,52 ,48.1 ,44 ,90 ,72.4 ,51 ,17 ,7.2 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
22 ,81 ,63.7 ,50 ,53 ,48.9 ,46 ,92 ,63.5 ,31 ,20 ,6.0 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
23 ,87 ,72.1 ,56 ,57 ,51.6 ,48 ,78 ,51.8 ,30 ,13 ,4.4 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
24 ,89 ,72.8 ,60 ,65 ,57.0 ,53 ,86 ,59.7 ,34 ,16 ,5.5 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
25 ,77 ,64.4 ,55 ,62 ,56.9 ,53 ,97 ,78.3 ,53 ,15 ,6.5 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
26 ,80 ,63.4 ,52 ,57 ,53.7 ,50 ,97 ,73.8 ,38 ,14 ,4.4 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
27 ,72 ,59.6 ,53 ,58 ,53.5 ,51 ,100 ,81.5 ,53 ,15 ,8.9 ,3 ,29.9 ,29.9 ,29.8 ,0.00 
28 ,71 ,58.3 ,51 ,55 ,50.9 ,49 ,96 ,77.8 ,49 ,14 ,8.8 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
29 ,68 ,59.3 ,52 ,51 ,49.2 ,48 ,89 ,70.4 ,52 ,16 ,10.6 ,3 ,29.8 ,29.7 ,29.7 ,0.00 
30 ,69 ,59.1 ,54 ,50 ,48.8 ,47 ,83 ,70.0 ,47 ,18 ,10.6 ,3 ,29.9 ,29.9 ,29.8 ,0
