Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Aug ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,79 ,67.1 ,61 ,58 ,56.1 ,54 ,80 ,68.9 ,48 ,15 ,7.0 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
2 ,81 ,67.8 ,59 ,58 ,55.4 ,53 ,81 ,66.2 ,43 ,14 ,6.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
3 ,82 ,67.6 ,57 ,57 ,54.7 ,52 ,87 ,65.3 ,42 ,15 ,7.3 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
4 ,73 ,63.9 ,58 ,55 ,53.5 ,52 ,84 ,69.8 ,53 ,15 ,7.3 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
5 ,76 ,64.8 ,59 ,56 ,53.8 ,52 ,81 ,68.6 ,45 ,17 ,8.4 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
6 ,74 ,64.2 ,59 ,56 ,53.6 ,51 ,81 ,69.4 ,53 ,16 ,6.6 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
7 ,77 ,63.8 ,55 ,54 ,52.0 ,49 ,89 ,67.9 ,41 ,14 ,6.5 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
8 ,80 ,66.7 ,58 ,55 ,53.2 ,51 ,81 ,63.9 ,40 ,15 ,5.9 ,0 ,29.8 ,29.8 ,29.8 ,0.00 
9 ,84 ,66.4 ,57 ,56 ,53.0 ,50 ,87 ,64.7 ,31 ,17 ,8.6 ,0 ,29.8 ,29.8 ,29.7 ,0.00 
10 ,83 ,66.8 ,55 ,58 ,54.3 ,52 ,88 ,67.0 ,34 ,18 ,11.0 ,3 ,29.9 ,29.8 ,29.8 ,0.00 
11 ,81 ,66.7 ,57 ,58 ,54.4 ,52 ,83 ,66.3 ,45 ,14 ,7.4 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
12 ,80 ,68.4 ,60 ,58 ,55.9 ,53 ,84 ,66.1 ,44 ,14 ,5.1 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
13 ,87 ,69.1 ,60 ,59 ,55.3 ,45 ,90 ,66.0 ,25 ,14 ,5.9 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
14 ,84 ,67.7 ,60 ,59 ,57.1 ,55 ,90 ,70.9 ,37 ,14 ,7.1 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
15 ,77 ,66.0 ,60 ,58 ,56.0 ,55 ,86 ,71.6 ,50 ,14 ,6.1 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
16 ,82 ,66.0 ,60 ,59 ,56.4 ,55 ,86 ,72.6 ,41 ,14 ,4.8 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
17 ,81 ,67.7 ,60 ,58 ,55.7 ,53 ,83 ,67.2 ,42 ,14 ,6.8 ,0 ,29.8 ,29.8 ,29.7 ,0.00 
18 ,80 ,67.7 ,61 ,59 ,56.1 ,53 ,84 ,68.2 ,43 ,13 ,5.8 ,0 ,29.8 ,29.8 ,29.8 ,0.00 
19 ,77 ,66.2 ,59 ,58 ,55.4 ,54 ,87 ,69.8 ,50 ,14 ,6.7 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
20 ,75 ,66.5 ,61 ,57 ,56.4 ,55 ,84 ,70.8 ,53 ,13 ,6.4 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
21 ,77 ,65.3 ,61 ,58 ,55.2 ,54 ,81 ,71.0 ,48 ,15 ,6.9 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
22 ,76 ,65.0 ,60 ,58 ,54.7 ,51 ,81 ,70.3 ,45 ,15 ,6.0 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
23 ,79 ,66.1 ,60 ,57 ,55.0 ,53 ,81 ,69.2 ,42 ,14 ,5.9 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
24 ,77 ,65.4 ,60 ,57 ,55.7 ,55 ,83 ,71.9 ,48 ,14 ,5.9 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
25 ,75 ,65.7 ,60 ,56 ,55.0 ,54 ,83 ,69.4 ,51 ,14 ,5.3 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
26 ,79 ,66.1 ,60 ,57 ,54.8 ,53 ,83 ,68.1 ,45 ,13 ,8.3 ,3 ,29.9 ,29.9 ,29.8 ,0.00 
27 ,77 ,66.4 ,62 ,56 ,54.0 ,53 ,75 ,65.4 ,46 ,15 ,7.2 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
28 ,78 ,66.7 ,61 ,56 ,54.7 ,54 ,81 ,66.3 ,46 ,16 ,6.4 ,0 ,30.0 ,30.0 ,30.0 ,0.00 
29 ,75 ,64.6 ,60 ,55 ,53.7 ,53 ,78 ,68.9 ,48 ,20 ,9.4 ,5 ,30.1 ,30.0 ,29.9 ,0.00 
30 ,80 ,69.7 ,59 ,56 ,53.7 ,52 ,78 ,58.4 ,42 ,17 ,6.5 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
31 ,77 ,67.8 ,60 ,57 ,54.8 ,52 ,83 ,64.5 ,43 ,18 ,9.2 ,3 ,29.9 ,29.9 ,29.9 ,0
