Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Dec ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,66 ,53.4 ,43 ,45 ,42.0 ,39 ,89 ,67.9 ,40 ,10 ,2.4 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
2 ,62 ,52.1 ,43 ,52 ,46.0 ,40 ,94 ,80.6 ,58 ,15 ,4.5 ,0 ,30.2 ,30.1 ,29.9 ,0.00 
3 ,54 ,51.3 ,44 ,54 ,41.5 ,21 ,100 ,71.6 ,40 ,21 ,8.5 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
4 ,51 ,43.2 ,34 ,31 ,24.3 ,15 ,79 ,50.4 ,26 ,10 ,4.1 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
5 ,51 ,39.5 ,30 ,25 ,20.0 ,14 ,79 ,49.5 ,23 ,8 ,3.2 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
6 ,53 ,43.0 ,31 ,44 ,26.3 ,0 ,86 ,55.8 ,37 ,14 ,6.3 ,0 ,30.1 ,30.1 ,29.9 ,0.00 
7 ,49 ,44.4 ,37 ,47 ,29.0 ,0 ,93 ,62.9 ,39 ,18 ,10.1 ,0 ,30.2 ,30.0 ,29.9 ,0.00 
8 ,47 ,37.7 ,30 ,30 ,23.6 ,14 ,86 ,60.2 ,30 ,12 ,3.4 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
9 ,50 ,37.8 ,27 ,23 ,20.0 ,13 ,75 ,52.8 ,23 ,8 ,2.7 ,0 ,30.4 ,30.3 ,30.3 ,0.00 
10 ,53 ,39.7 ,28 ,29 ,24.7 ,22 ,78 ,57.6 ,32 ,6 ,1.2 ,0 ,30.4 ,30.2 ,30.1 ,0.00 
11 ,56 ,43.0 ,33 ,31 ,27.9 ,25 ,78 ,57.7 ,30 ,8 ,1.4 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
12 ,58 ,43.9 ,32 ,34 ,27.0 ,0 ,79 ,59.8 ,33 ,6 ,1.2 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
13 ,59 ,44.8 ,34 ,42 ,33.8 ,0 ,87 ,69.7 ,41 ,8 ,1.8 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
14 ,61 ,46.2 ,35 ,36 ,29.7 ,0 ,89 ,64.5 ,36 ,8 ,1.2 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
15 ,61 ,46.6 ,35 ,37 ,31.5 ,0 ,89 ,65.0 ,35 ,6 ,1.0 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
16 ,66 ,50.2 ,38 ,37 ,30.0 ,0 ,86 ,57.8 ,27 ,6 ,1.0 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
17 ,65 ,51.0 ,41 ,39 ,36.1 ,34 ,76 ,58.4 ,34 ,6 ,1.0 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
18 ,61 ,50.8 ,45 ,46 ,42.0 ,38 ,90 ,72.9 ,42 ,13 ,3.4 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
19 ,58 ,48.6 ,42 ,43 ,33.5 ,0 ,96 ,67.4 ,36 ,15 ,7.3 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
20 ,60 ,48.1 ,36 ,25 ,15.6 ,2 ,62 ,32.4 ,10 ,12 ,3.6 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
21 ,60 ,47.9 ,37 ,47 ,34.8 ,20 ,89 ,61.9 ,41 ,12 ,3.0 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
22 ,66 ,49.9 ,39 ,42 ,38.2 ,33 ,96 ,69.4 ,29 ,10 ,2.7 ,0 ,30.2 ,30.1 ,30.0 ,0.00 
23 ,63 ,50.3 ,39 ,40 ,37.1 ,35 ,86 ,62.8 ,39 ,8 ,2.3 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
24 ,70 ,51.2 ,39 ,39 ,37.3 ,35 ,86 ,62.8 ,31 ,8 ,2.6 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
25 ,66 ,49.6 ,37 ,39 ,34.3 ,0 ,83 ,61.7 ,32 ,5 ,1.5 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
26 ,68 ,50.7 ,38 ,40 ,36.3 ,33 ,86 ,61.3 ,29 ,5 ,1.6 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
27 ,59 ,48.0 ,36 ,40 ,34.0 ,0 ,86 ,66.3 ,46 ,9 ,1.2 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
28 ,65 ,48.0 ,36 ,39 ,28.7 ,0 ,93 ,63.6 ,26 ,10 ,2.5 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
29 ,67 ,49.6 ,37 ,31 ,25.8 ,0 ,76 ,47.0 ,17 ,7 ,2.5 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
30 ,64 ,48.5 ,34 ,35 ,29.0 ,0 ,75 ,52.0 ,25 ,7 ,1.6 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
31 ,59 ,43.8 ,37 ,43 ,36.6 ,0 ,100 ,80.8 ,46 ,13 ,1.2 ,0 ,30.2 ,30.2 ,30.1 ,0
