ime,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Dec ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,56 ,54.3 ,52 ,50 ,49.0 ,47 ,86 ,82.1 ,74 ,33 ,25.3 ,18 ,29.9 ,29.8 ,29.8 ,0.07 
2 ,59 ,55.9 ,53 ,53 ,50.8 ,49 ,90 ,83.0 ,72 ,26 ,14.7 ,0 ,30.1 ,30.0 ,29.9 ,0.08 
3 ,61 ,52.7 ,48 ,53 ,49.8 ,48 ,100 ,90.3 ,72 ,5 ,1.2 ,0 ,30.1 ,30.0 ,29.9 ,0.22 
4 ,59 ,55.2 ,53 ,55 ,53.0 ,51 ,100 ,92.3 ,84 ,7 ,3.0 ,0 ,29.9 ,29.8 ,29.8 ,0.11 
5 ,62 ,53.0 ,47 ,53 ,49.5 ,46 ,100 ,88.7 ,67 ,14 ,2.0 ,0 ,30.0 ,30.0 ,29.9 ,0.36 
6 ,67 ,59.6 ,53 ,51 ,48.9 ,45 ,90 ,69.0 ,51 ,23 ,12.8 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
7 ,65 ,59.9 ,57 ,56 ,53.7 ,51 ,93 ,80.5 ,63 ,20 ,11.1 ,3 ,29.9 ,29.9 ,29.9 ,0.02 
8 ,61 ,56.2 ,54 ,55 ,52.3 ,50 ,97 ,87.2 ,69 ,12 ,5.0 ,0 ,30.1 ,30.0 ,29.9 ,0.44 
9 ,58 ,54.5 ,52 ,52 ,49.3 ,47 ,93 ,82.5 ,72 ,8 ,4.6 ,0 ,30.2 ,30.1 ,30.1 ,0.03 
10 ,62 ,54.7 ,49 ,51 ,47.5 ,46 ,90 ,77.5 ,60 ,10 ,3.6 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
11 ,63 ,58.7 ,54 ,53 ,50.3 ,47 ,86 ,74.0 ,60 ,14 ,9.1 ,5 ,30.2 ,30.1 ,30.1 ,0.05 
12 ,68 ,61.9 ,59 ,59 ,55.7 ,51 ,90 ,80.6 ,70 ,12 ,7.0 ,3 ,30.3 ,30.2 ,30.1 ,0.00 
13 ,62 ,58.6 ,56 ,58 ,54.7 ,47 ,100 ,87.6 ,58 ,13 ,4.0 ,0 ,30.2 ,30.1 ,30.0 ,0.00 
14 ,58 ,53.2 ,49 ,54 ,46.8 ,41 ,94 ,79.6 ,58 ,18 ,7.9 ,0 ,30.1 ,30.0 ,30.0 ,0.03 
15 ,56 ,49.8 ,44 ,43 ,41.3 ,39 ,83 ,73.5 ,55 ,13 ,5.9 ,0 ,30.2 ,30.1 ,30.0 ,0.02 
16 ,59 ,47.5 ,40 ,41 ,37.3 ,29 ,93 ,70.5 ,37 ,10 ,3.1 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
17 ,60 ,48.6 ,40 ,41 ,35.6 ,26 ,79 ,63.4 ,27 ,10 ,3.1 ,0 ,30.2 ,30.1 ,29.9 ,0.00 
18 ,57 ,53.2 ,50 ,50 ,44.9 ,28 ,89 ,74.9 ,37 ,16 ,11.4 ,3 ,30.1 ,30.0 ,29.9 ,0.00 
19 ,62 ,53.7 ,49 ,51 ,47.8 ,45 ,93 ,81.1 ,53 ,12 ,4.1 ,0 ,30.2 ,30.1 ,30.1 ,0.10 
20 ,64 ,53.0 ,46 ,49 ,46.3 ,44 ,93 ,79.2 ,50 ,6 ,1.5 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
21 ,60 ,53.0 ,46 ,47 ,45.1 ,39 ,93 ,75.7 ,53 ,16 ,6.3 ,0 ,30.1 ,29.9 ,29.7 ,0.00 
22 ,57 ,52.7 ,46 ,51 ,45.0 ,36 ,93 ,76.3 ,47 ,23 ,10.2 ,0 ,29.9 ,29.7 ,29.6 ,0.00 
23 ,54 ,45.9 ,40 ,44 ,41.5 ,38 ,97 ,85.4 ,64 ,9 ,3.6 ,0 ,29.9 ,29.8 ,29.8 ,0.23 
24 ,52 ,45.7 ,40 ,43 ,40.3 ,37 ,92 ,82.0 ,63 ,9 ,4.7 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
25 ,54 ,49.4 ,46 ,43 ,41.3 ,39 ,86 ,74.4 ,57 ,17 ,10.5 ,3 ,29.8 ,29.8 ,29.6 ,0.04 
26 ,57 ,50.3 ,43 ,41 ,35.8 ,32 ,77 ,58.8 ,43 ,16 ,8.4 ,3 ,30.0 ,29.9 ,29.7 ,0.04 
27 ,57 ,45.5 ,35 ,39 ,34.1 ,31 ,89 ,66.8 ,37 ,13 ,3.5 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
28 ,61 ,46.9 ,37 ,42 ,35.6 ,32 ,83 ,67.0 ,38 ,9 ,2.9 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
29 ,56 ,49.6 ,44 ,50 ,42.8 ,38 ,93 ,78.0 ,60 ,14 ,6.2 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
30 ,59 ,50.9 ,46 ,46 ,43.7 ,41 ,86 ,77.3 ,53 ,8 ,4.0 ,0 ,30.1 ,30.0 ,30.0 ,0.24 
31 ,63 ,50.5 ,40 ,43 ,39.6 ,37 ,93 ,69.2 ,41 ,12 ,2.7 ,0 ,30.1 ,30.1 ,30.1 ,0.00 
