Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Jan ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,62 ,47.5 ,36 ,36 ,27.5 ,0 ,86 ,62.8 ,34 ,7 ,0.9 ,0 ,30.1 ,30.1 ,30.1 ,0.00 
2 ,65 ,49.9 ,38 ,38 ,30.3 ,0 ,79 ,58.0 ,32 ,6 ,0.8 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
3 ,64 ,51.2 ,41 ,37 ,32.1 ,0 ,76 ,56.0 ,30 ,8 ,1.5 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
4 ,66 ,50.5 ,39 ,44 ,35.8 ,29 ,87 ,60.3 ,32 ,6 ,2.7 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
5 ,66 ,49.5 ,35 ,33 ,23.8 ,0 ,70 ,46.8 ,20 ,5 ,1.2 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
6 ,61 ,49.4 ,40 ,37 ,32.2 ,0 ,70 ,55.4 ,35 ,8 ,1.4 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
7 ,62 ,51.6 ,45 ,44 ,38.4 ,35 ,80 ,62.1 ,37 ,9 ,2.8 ,0 ,30.1 ,30.1 ,30.1 ,0.00 
8 ,58 ,52.6 ,50 ,50 ,46.9 ,42 ,96 ,81.4 ,67 ,12 ,4.1 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
9 ,59 ,51.8 ,48 ,52 ,46.4 ,43 ,100 ,82.5 ,62 ,17 ,3.7 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
10 ,62 ,50.5 ,41 ,48 ,42.6 ,37 ,86 ,75.0 ,53 ,7 ,2.0 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
11 ,59 ,50.0 ,44 ,50 ,44.3 ,40 ,93 ,81.1 ,64 ,12 ,2.7 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
12 ,59 ,49.7 ,44 ,46 ,41.8 ,37 ,100 ,76.6 ,46 ,17 ,5.3 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
13 ,67 ,53.7 ,45 ,35 ,30.7 ,0 ,68 ,48.1 ,26 ,8 ,3.2 ,0 ,30.4 ,30.3 ,30.3 ,0.00 
14 ,75 ,54.8 ,39 ,34 ,22.4 ,0 ,73 ,43.1 ,10 ,13 ,3.5 ,0 ,30.4 ,30.3 ,30.3 ,0.00 
15 ,71 ,54.6 ,41 ,34 ,26.0 ,0 ,55 ,39.0 ,20 ,8 ,2.2 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
16 ,72 ,54.5 ,41 ,34 ,26.8 ,0 ,62 ,41.2 ,18 ,7 ,1.1 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
17 ,68 ,53.2 ,41 ,38 ,29.7 ,0 ,62 ,47.3 ,24 ,7 ,1.7 ,0 ,30.1 ,30.1 ,30.1 ,0.00 
18 ,70 ,52.4 ,38 ,34 ,29.3 ,0 ,70 ,46.7 ,21 ,6 ,1.3 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
19 ,68 ,50.5 ,37 ,36 ,25.6 ,0 ,70 ,49.2 ,22 ,7 ,1.0 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
20 ,69 ,52.1 ,38 ,33 ,23.8 ,0 ,67 ,46.8 ,22 ,5 ,1.4 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
21 ,67 ,50.7 ,38 ,37 ,28.0 ,0 ,70 ,49.0 ,23 ,8 ,1.5 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
22 ,72 ,52.8 ,39 ,46 ,30.9 ,21 ,86 ,49.0 ,15 ,8 ,2.6 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
23 ,67 ,52.7 ,41 ,43 ,28.2 ,0 ,83 ,49.0 ,24 ,9 ,2.3 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
24 ,65 ,52.3 ,41 ,42 ,37.9 ,34 ,76 ,59.8 ,40 ,5 ,1.2 ,0 ,30.2 ,30.1 ,29.9 ,0.00 
25 ,71 ,55.8 ,45 ,42 ,34.4 ,0 ,77 ,53.3 ,24 ,6 ,2.0 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
26 ,71 ,55.5 ,45 ,48 ,29.5 ,0 ,93 ,49.4 ,22 ,9 ,3.3 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
27 ,63 ,51.2 ,46 ,50 ,46.6 ,43 ,100 ,85.7 ,48 ,8 ,1.8 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
28 ,66 ,57.2 ,48 ,58 ,51.1 ,45 ,96 ,80.8 ,52 ,16 ,3.5 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
29 ,68 ,59.6 ,56 ,59 ,56.6 ,52 ,100 ,90.5 ,68 ,14 ,3.1 ,0 ,30.2 ,30.1 ,29.9 ,0.00 
30 ,60 ,54.4 ,52 ,50 ,47.4 ,41 ,94 ,78.3 ,53 ,14 ,6.3 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
31 ,59 ,51.8 ,45 ,45 ,40.0 ,30 ,89 ,66.4 ,33 ,17 ,5.2 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
