Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Jul ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,76 ,65.0 ,56 ,58 ,54.7 ,53 ,93 ,71.1 ,50 ,16 ,6.5 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
2 ,75 ,65.7 ,57 ,56 ,54.3 ,51 ,87 ,68.3 ,49 ,18 ,6.3 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
3 ,78 ,65.1 ,56 ,58 ,54.6 ,52 ,93 ,70.7 ,45 ,16 ,8.0 ,3 ,29.9 ,29.9 ,29.8 ,0.00 
4 ,77 ,64.8 ,56 ,60 ,55.9 ,53 ,93 ,74.8 ,50 ,14 ,7.8 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
5 ,80 ,64.6 ,55 ,60 ,55.9 ,53 ,96 ,75.7 ,48 ,14 ,7.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
6 ,81 ,66.3 ,55 ,60 ,54.9 ,53 ,97 ,69.2 ,42 ,16 ,6.4 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
7 ,76 ,64.1 ,56 ,57 ,54.0 ,53 ,90 ,71.2 ,46 ,18 ,7.9 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
8 ,72 ,62.7 ,57 ,58 ,55.0 ,53 ,89 ,76.8 ,55 ,20 ,9.2 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
9 ,74 ,64.7 ,57 ,62 ,57.7 ,53 ,90 ,79.0 ,57 ,18 ,9.0 ,3 ,30.0 ,30.0 ,29.9 ,0.00 
10 ,77 ,67.6 ,63 ,62 ,60.5 ,58 ,90 ,78.8 ,56 ,15 ,6.3 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
11 ,79 ,68.5 ,60 ,63 ,60.0 ,57 ,93 ,75.8 ,56 ,17 ,7.6 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
12 ,80 ,66.3 ,59 ,61 ,58.5 ,57 ,93 ,77.8 ,52 ,15 ,6.4 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
13 ,77 ,65.1 ,56 ,62 ,58.1 ,55 ,97 ,79.9 ,56 ,13 ,5.7 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
14 ,78 ,68.3 ,59 ,61 ,58.3 ,55 ,90 ,72.0 ,46 ,13 ,6.3 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
15 ,85 ,71.6 ,62 ,61 ,58.0 ,53 ,87 ,64.6 ,38 ,18 ,7.6 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
16 ,83 ,70.0 ,60 ,60 ,57.3 ,51 ,97 ,67.6 ,40 ,17 ,7.0 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
17 ,85 ,69.9 ,58 ,62 ,56.7 ,52 ,90 ,65.9 ,35 ,16 ,9.4 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
18 ,84 ,70.2 ,58 ,60 ,56.7 ,54 ,90 ,64.5 ,40 ,17 ,10.5 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
19 ,83 ,69.8 ,59 ,64 ,50.8 ,21 ,87 ,55.5 ,22 ,16 ,11.3 ,5 ,29.9 ,29.8 ,29.8 ,0.00 
20 ,78 ,66.9 ,60 ,64 ,59.6 ,55 ,100 ,80.2 ,48 ,14 ,8.1 ,3 ,29.9 ,29.9 ,29.8 ,0.00 
21 ,82 ,68.5 ,59 ,65 ,60.0 ,55 ,100 ,78.0 ,44 ,13 ,7.5 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
22 ,86 ,72.3 ,62 ,63 ,59.7 ,56 ,100 ,68.8 ,37 ,14 ,6.0 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
23 ,80 ,70.1 ,61 ,64 ,59.6 ,52 ,100 ,72.8 ,45 ,16 ,7.7 ,3 ,30.0 ,29.9 ,29.9 ,0.00 
24 ,92 ,75.5 ,62 ,65 ,55.5 ,41 ,100 ,58.3 ,20 ,14 ,6.6 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
25 ,85 ,73.5 ,64 ,67 ,60.7 ,53 ,100 ,68.6 ,38 ,16 ,7.1 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
26 ,81 ,68.7 ,60 ,65 ,59.6 ,54 ,100 ,75.5 ,48 ,13 ,7.4 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
27 ,89 ,73.3 ,59 ,63 ,57.6 ,51 ,100 ,63.8 ,28 ,12 ,5.5 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
28 ,88 ,75.8 ,66 ,67 ,58.3 ,53 ,100 ,57.0 ,33 ,16 ,6.8 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
29 ,80 ,67.5 ,58 ,60 ,56.8 ,52 ,100 ,71.0 ,43 ,16 ,9.9 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
30 ,77 ,66.0 ,59 ,61 ,57.8 ,54 ,100 ,77.6 ,48 ,15 ,6.6 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
31 ,83 ,66.5 ,57 ,64 ,58.5 ,51 ,100 ,79.7 ,35 ,14 ,8.7 ,0 ,29.9 ,29.9 ,29.9 ,0
