Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Jun ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,78 ,66.5 ,60 ,53 ,51.2 ,49 ,72 ,59.3 ,37 ,17 ,7.1 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
2 ,91 ,75.3 ,60 ,55 ,51.2 ,49 ,78 ,46.8 ,25 ,18 ,6.7 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
3 ,96 ,79.8 ,65 ,58 ,52.7 ,50 ,68 ,42.0 ,22 ,17 ,6.6 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
4 ,92 ,74.2 ,62 ,59 ,55.2 ,47 ,84 ,55.4 ,21 ,15 ,6.8 ,0 ,29.8 ,29.7 ,29.6 ,0.00 
5 ,72 ,64.1 ,57 ,53 ,49.5 ,45 ,78 ,60.4 ,45 ,20 ,13.0 ,6 ,29.9 ,29.8 ,29.7 ,0.00 
6 ,74 ,62.9 ,56 ,47 ,44.8 ,41 ,69 ,53.2 ,30 ,22 ,10.3 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
7 ,69 ,61.0 ,54 ,45 ,42.1 ,38 ,69 ,51.5 ,33 ,22 ,14.7 ,6 ,30.1 ,30.1 ,30.0 ,0.00 
8 ,78 ,65.2 ,52 ,46 ,40.5 ,30 ,72 ,44.3 ,17 ,21 ,9.3 ,0 ,30.1 ,30.1 ,30.1 ,0.00 
9 ,90 ,70.6 ,55 ,50 ,41.4 ,34 ,58 ,38.5 ,14 ,18 ,7.0 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
10 ,87 ,71.4 ,59 ,55 ,53.1 ,50 ,81 ,56.1 ,30 ,18 ,7.4 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
11 ,85 ,70.0 ,59 ,58 ,54.5 ,49 ,87 ,60.5 ,36 ,22 ,8.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
12 ,71 ,64.0 ,58 ,53 ,49.2 ,43 ,78 ,59.7 ,42 ,18 ,10.8 ,5 ,30.1 ,30.0 ,29.9 ,0.00 
13 ,72 ,63.5 ,56 ,48 ,46.2 ,43 ,72 ,54.9 ,37 ,16 ,9.6 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
14 ,77 ,64.8 ,59 ,56 ,51.7 ,48 ,78 ,62.9 ,46 ,22 ,7.6 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
15 ,77 ,66.7 ,59 ,55 ,52.5 ,47 ,81 ,61.5 ,45 ,18 ,8.5 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
16 ,73 ,64.5 ,57 ,49 ,47.0 ,45 ,74 ,55.0 ,37 ,18 ,10.2 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
17 ,86 ,71.2 ,56 ,51 ,42.8 ,35 ,72 ,41.3 ,17 ,18 ,7.3 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
18 ,92 ,75.3 ,60 ,47 ,41.0 ,35 ,49 ,31.6 ,14 ,20 ,7.0 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
19 ,83 ,69.0 ,59 ,55 ,50.6 ,45 ,78 ,53.5 ,32 ,15 ,8.3 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
20 ,79 ,65.8 ,56 ,56 ,53.0 ,51 ,84 ,65.6 ,40 ,16 ,7.6 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
21 ,81 ,68.0 ,58 ,58 ,54.2 ,51 ,81 ,63.0 ,45 ,17 ,8.0 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
22 ,86 ,69.0 ,57 ,58 ,54.4 ,52 ,83 ,62.2 ,36 ,16 ,7.6 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
23 ,83 ,69.0 ,58 ,60 ,55.3 ,53 ,84 ,63.7 ,38 ,16 ,8.8 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
24 ,84 ,69.3 ,59 ,60 ,56.0 ,53 ,83 ,64.6 ,39 ,14 ,7.2 ,0 ,29.8 ,29.7 ,29.7 ,0.00 
25 ,82 ,67.8 ,58 ,59 ,55.1 ,53 ,84 ,65.6 ,38 ,16 ,8.8 ,0 ,29.8 ,29.7 ,29.7 ,0.00 
26 ,82 ,69.2 ,59 ,61 ,56.2 ,53 ,81 ,64.9 ,42 ,14 ,8.4 ,0 ,29.8 ,29.8 ,29.8 ,0.00 
27 ,83 ,68.8 ,61 ,60 ,56.3 ,53 ,87 ,66.6 ,38 ,15 ,6.8 ,0 ,29.8 ,29.8 ,29.7 ,0.00 
28 ,78 ,66.2 ,58 ,53 ,47.5 ,40 ,81 ,54.7 ,25 ,15 ,11.3 ,3 ,29.7 ,29.7 ,29.7 ,0.00 
29 ,82 ,67.9 ,55 ,50 ,47.7 ,45 ,77 ,51.3 ,29 ,21 ,9.9 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
30 ,89 ,71.1 ,58 ,56 ,50.2 ,45 ,78 ,51.1 ,22 ,18 ,8.6 ,3 ,29.9 ,29.8 ,29.8 ,0
