Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Mar ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,60 ,51.4 ,41 ,37 ,33.7 ,21 ,76 ,53.0 ,28 ,15 ,6.7 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
2 ,73 ,59.8 ,45 ,36 ,21.3 ,11 ,41 ,24.9 ,11 ,17 ,10.2 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
3 ,76 ,62.5 ,48 ,43 ,37.8 ,32 ,56 ,41.5 ,27 ,13 ,6.1 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
4 ,78 ,62.5 ,49 ,48 ,43.4 ,40 ,71 ,52.5 ,29 ,10 ,4.2 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
5 ,66 ,56.5 ,50 ,50 ,47.8 ,46 ,89 ,73.4 ,54 ,16 ,6.9 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
6 ,66 ,56.8 ,53 ,47 ,45.1 ,42 ,77 ,65.8 ,47 ,14 ,7.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
7 ,56 ,52.2 ,50 ,49 ,44.5 ,42 ,89 ,75.1 ,62 ,16 ,6.7 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
8 ,60 ,52.5 ,49 ,47 ,42.2 ,36 ,90 ,70.3 ,42 ,10 ,4.9 ,0 ,30.0 ,29.9 ,29.9 ,0.27 
9 ,66 ,55.9 ,47 ,45 ,41.3 ,38 ,74 ,59.2 ,42 ,12 ,3.8 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
10 ,67 ,59.9 ,50 ,48 ,43.8 ,40 ,74 ,56.6 ,39 ,14 ,5.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
11 ,72 ,61.7 ,55 ,52 ,48.9 ,47 ,81 ,64.2 ,44 ,17 ,7.0 ,0 ,30.0 ,30.0 ,29.9 ,0.01 
12 ,74 ,58.8 ,49 ,51 ,46.5 ,42 ,93 ,67.7 ,32 ,15 ,4.1 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
13 ,64 ,55.9 ,50 ,50 ,45.8 ,42 ,89 ,70.0 ,54 ,24 ,11.4 ,0 ,29.9 ,29.7 ,29.7 ,0.00 
14 ,59 ,53.2 ,50 ,47 ,44.5 ,41 ,89 ,73.2 ,55 ,18 ,9.4 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
15 ,54 ,49.6 ,46 ,48 ,44.1 ,42 ,93 ,81.5 ,71 ,12 ,7.6 ,3 ,29.9 ,29.9 ,29.9 ,0.64 
16 ,56 ,47.1 ,43 ,43 ,40.5 ,36 ,93 ,78.8 ,47 ,10 ,4.6 ,0 ,29.9 ,29.9 ,29.8 ,0.59 
17 ,57 ,47.1 ,39 ,42 ,38.6 ,36 ,89 ,73.7 ,45 ,20 ,6.7 ,0 ,29.9 ,29.9 ,29.9 ,0.25 
18 ,54 ,48.5 ,42 ,46 ,42.0 ,39 ,89 ,78.8 ,59 ,9 ,4.8 ,0 ,29.9 ,29.8 ,29.8 ,0.04 
19 ,60 ,51.6 ,46 ,44 ,42.2 ,38 ,93 ,72.5 ,46 ,8 ,3.5 ,0 ,30.1 ,29.9 ,29.9 ,0.02 
20 ,63 ,53.3 ,44 ,45 ,41.8 ,39 ,86 ,66.6 ,43 ,9 ,4.5 ,0 ,30.1 ,30.1 ,30.1 ,0.00 
21 ,61 ,54.3 ,48 ,47 ,44.5 ,41 ,83 ,70.4 ,54 ,6 ,3.0 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
22 ,67 ,55.3 ,49 ,53 ,48.3 ,45 ,93 ,78.6 ,45 ,17 ,4.3 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
23 ,58 ,53.2 ,49 ,50 ,45.6 ,39 ,90 ,76.1 ,59 ,15 ,6.3 ,0 ,30.1 ,30.1 ,29.9 ,0.10 
24 ,58 ,52.8 ,48 ,44 ,42.4 ,39 ,83 ,68.4 ,53 ,15 ,6.5 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
25 ,55 ,48.9 ,43 ,44 ,40.1 ,35 ,93 ,73.1 ,50 ,16 ,5.8 ,0 ,30.1 ,30.0 ,29.9 ,0.03 
26 ,58 ,48.7 ,37 ,40 ,35.8 ,33 ,86 ,63.4 ,39 ,16 ,7.0 ,0 ,30.0 ,30.0 ,30.0 ,0.06 
27 ,59 ,49.4 ,38 ,40 ,37.3 ,33 ,83 ,64.5 ,44 ,12 ,5.8 ,0 ,30.2 ,30.1 ,30.0 ,0.00 
28 ,57 ,52.1 ,48 ,49 ,45.3 ,39 ,89 ,78.0 ,64 ,8 ,3.6 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
29 ,62 ,55.0 ,50 ,49 ,47.0 ,45 ,89 ,75.2 ,53 ,13 ,7.2 ,0 ,30.1 ,30.1 ,30.0 ,0.05 
30 ,66 ,57.0 ,52 ,49 ,46.1 ,43 ,83 ,68.2 ,45 ,15 ,5.0 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
31 ,67 ,56.3 ,51 ,51 ,47.5 ,45 ,83 ,73.4 ,48 ,18 ,6.0 ,0 ,30.2 ,30.1 ,30.0 ,0
