Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
May ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,83 ,69.5 ,58 ,53 ,47.8 ,41 ,84 ,48.4 ,24 ,16 ,6.8 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
2 ,73 ,60.5 ,52 ,54 ,49.8 ,47 ,83 ,69.5 ,47 ,14 ,6.3 ,0 ,29.8 ,29.8 ,29.8 ,0.00 
3 ,69 ,59.1 ,52 ,51 ,47.6 ,46 ,80 ,66.8 ,47 ,16 ,9.0 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
4 ,64 ,57.3 ,52 ,49 ,46.0 ,43 ,75 ,66.3 ,56 ,17 ,7.1 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
5 ,69 ,58.1 ,51 ,47 ,44.3 ,41 ,80 ,61.7 ,40 ,18 ,7.9 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
6 ,70 ,58.1 ,48 ,47 ,44.0 ,42 ,80 ,61.0 ,42 ,16 ,8.6 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
7 ,59 ,54.2 ,49 ,47 ,44.6 ,42 ,80 ,70.7 ,55 ,14 ,6.8 ,0 ,29.8 ,29.7 ,29.7 ,0.00 
8 ,71 ,59.2 ,51 ,50 ,46.9 ,45 ,80 ,65.5 ,41 ,14 ,9.2 ,0 ,30.0 ,29.8 ,29.7 ,0.03 
9 ,67 ,58.1 ,54 ,51 ,48.4 ,46 ,82 ,70.8 ,54 ,16 ,6.2 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
10 ,67 ,58.6 ,54 ,51 ,47.7 ,46 ,80 ,67.9 ,50 ,15 ,5.2 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
11 ,65 ,57.1 ,51 ,47 ,44.6 ,40 ,83 ,64.0 ,50 ,17 ,6.6 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
12 ,65 ,56.0 ,47 ,41 ,39.3 ,36 ,77 ,55.1 ,34 ,21 ,10.4 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
13 ,66 ,57.6 ,48 ,44 ,41.5 ,39 ,71 ,56.0 ,43 ,14 ,6.5 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
14 ,68 ,56.9 ,54 ,55 ,47.9 ,43 ,100 ,73.1 ,43 ,16 ,6.0 ,0 ,29.8 ,29.8 ,29.7 ,0.00 
15 ,65 ,57.5 ,53 ,50 ,47.1 ,45 ,82 ,69.2 ,53 ,17 ,7.1 ,0 ,29.9 ,29.9 ,29.8 ,0.47 
16 ,67 ,56.8 ,50 ,51 ,46.6 ,44 ,82 ,69.3 ,52 ,16 ,6.5 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
17 ,64 ,57.9 ,55 ,49 ,46.6 ,45 ,74 ,66.2 ,58 ,18 ,7.2 ,0 ,30.0 ,30.0 ,30.0 ,0.00 
18 ,64 ,57.4 ,54 ,49 ,46.8 ,46 ,77 ,68.0 ,56 ,13 ,5.1 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
19 ,65 ,58.5 ,55 ,51 ,48.4 ,47 ,80 ,69.5 ,60 ,16 ,5.9 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
20 ,66 ,59.0 ,55 ,50 ,46.9 ,45 ,72 ,64.5 ,54 ,20 ,8.2 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
21 ,67 ,60.5 ,57 ,51 ,48.0 ,46 ,78 ,63.7 ,50 ,15 ,6.3 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
22 ,67 ,58.5 ,54 ,52 ,49.1 ,46 ,84 ,71.4 ,57 ,20 ,5.9 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
23 ,68 ,60.3 ,55 ,50 ,48.4 ,46 ,77 ,65.3 ,52 ,16 ,8.2 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
24 ,69 ,59.5 ,52 ,53 ,49.2 ,46 ,80 ,69.5 ,47 ,20 ,9.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
25 ,68 ,60.2 ,56 ,52 ,50.4 ,48 ,82 ,70.3 ,56 ,17 ,8.2 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
26 ,68 ,60.6 ,57 ,52 ,50.0 ,48 ,81 ,68.7 ,54 ,17 ,8.7 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
27 ,70 ,60.8 ,57 ,54 ,50.0 ,48 ,82 ,68.8 ,49 ,22 ,7.5 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
28 ,68 ,59.7 ,55 ,53 ,51.0 ,49 ,88 ,73.6 ,59 ,15 ,7.7 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
29 ,69 ,60.0 ,55 ,54 ,51.7 ,50 ,86 ,74.8 ,58 ,13 ,6.3 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
30 ,72 ,60.3 ,54 ,56 ,52.0 ,50 ,88 ,75.3 ,53 ,17 ,6.1 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
31 ,69 ,61.2 ,57 ,53 ,51.0 ,48 ,83 ,70.2 ,54 ,18 ,6.2 ,0 ,29.9 ,29.9 ,29.8 ,0
