Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Nov ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,75 ,63.1 ,54 ,54 ,31.7 ,13 ,94 ,42.8 ,11 ,17 ,6.3 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
2 ,78 ,61.8 ,50 ,37 ,23.9 ,16 ,49 ,25.6 ,11 ,8 ,2.3 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
3 ,64 ,54.0 ,48 ,48 ,41.8 ,33 ,93 ,65.3 ,35 ,26 ,8.1 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
4 ,58 ,50.4 ,46 ,46 ,42.5 ,37 ,100 ,76.5 ,47 ,16 ,6.1 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
5 ,60 ,50.1 ,41 ,48 ,40.8 ,36 ,93 ,72.2 ,49 ,15 ,4.9 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
6 ,61 ,52.3 ,46 ,47 ,44.8 ,40 ,100 ,77.6 ,49 ,15 ,6.2 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
7 ,60 ,52.1 ,46 ,46 ,42.9 ,39 ,90 ,72.4 ,47 ,10 ,3.0 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
8 ,64 ,50.6 ,39 ,44 ,40.4 ,35 ,93 ,70.9 ,37 ,10 ,3.0 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
9 ,69 ,52.7 ,40 ,45 ,39.3 ,35 ,89 ,64.3 ,29 ,7 ,2.0 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
10 ,71 ,54.4 ,42 ,40 ,37.3 ,29 ,85 ,57.0 ,22 ,7 ,2.9 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
11 ,62 ,54.6 ,50 ,48 ,41.1 ,0 ,80 ,65.2 ,26 ,21 ,8.4 ,0 ,29.8 ,29.7 ,29.6 ,0.00 
12 ,61 ,54.1 ,48 ,51 ,48.7 ,46 ,94 ,82.7 ,63 ,10 ,4.5 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
13 ,64 ,54.4 ,46 ,51 ,47.7 ,45 ,97 ,79.8 ,54 ,7 ,3.7 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
14 ,61 ,53.2 ,48 ,50 ,47.2 ,42 ,100 ,82.0 ,50 ,10 ,2.8 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
15 ,65 ,54.0 ,46 ,50 ,46.2 ,43 ,93 ,76.5 ,48 ,9 ,3.5 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
16 ,66 ,53.7 ,44 ,50 ,46.6 ,42 ,93 ,78.8 ,48 ,12 ,2.8 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
17 ,59 ,53.5 ,48 ,52 ,48.6 ,46 ,96 ,84.3 ,69 ,10 ,3.2 ,0 ,30.2 ,30.1 ,30.0 ,0.00 
18 ,58 ,52.9 ,47 ,50 ,45.2 ,40 ,93 ,75.8 ,53 ,13 ,4.3 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
19 ,57 ,49.4 ,40 ,46 ,40.5 ,34 ,100 ,74.1 ,47 ,17 ,5.7 ,0 ,29.9 ,29.9 ,29.7 ,0.00 
20 ,55 ,51.0 ,48 ,49 ,42.4 ,0 ,93 ,76.5 ,0 ,26 ,9.9 ,0 ,29.9 ,29.8 ,29.6 ,0.00 
21 ,60 ,49.4 ,42 ,46 ,44.1 ,42 ,100 ,83.4 ,53 ,9 ,2.7 ,0 ,30.2 ,30.1 ,29.9 ,0.00 
22 ,63 ,52.0 ,43 ,45 ,42.8 ,41 ,93 ,72.9 ,48 ,9 ,5.8 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
23 ,62 ,53.4 ,46 ,45 ,43.3 ,41 ,89 ,69.8 ,52 ,16 ,8.9 ,3 ,30.0 ,29.9 ,29.8 ,0.00 
24 ,58 ,53.4 ,43 ,52 ,46.0 ,39 ,93 ,76.2 ,67 ,18 ,8.8 ,0 ,30.2 ,30.0 ,29.8 ,0.00 
25 ,62 ,50.5 ,41 ,51 ,45.0 ,39 ,96 ,82.3 ,65 ,10 ,4.2 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
26 ,64 ,52.6 ,43 ,50 ,47.4 ,42 ,100 ,84.1 ,56 ,6 ,0.7 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
27 ,60 ,48.3 ,45 ,49 ,46.4 ,44 ,100 ,93.4 ,64 ,6 ,2.1 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
28 ,55 ,49.5 ,46 ,50 ,47.9 ,45 ,100 ,94.6 ,77 ,5 ,0.7 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
29 ,54 ,46.8 ,43 ,48 ,45.8 ,43 ,100 ,96.3 ,82 ,5 ,0.9 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
30 ,67 ,52.0 ,43 ,49 ,39.4 ,21 ,100 ,72.3 ,18 ,23 ,8.5 ,0 ,30.2 ,30.1 ,30.0 ,0.00 
