Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Oct ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,69 ,58.1 ,47 ,47 ,42.5 ,39 ,80 ,58.5 ,35 ,17 ,5.9 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
2 ,76 ,60.8 ,49 ,50 ,42.2 ,35 ,77 ,54.5 ,23 ,20 ,6.4 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
3 ,72 ,59.5 ,49 ,51 ,45.1 ,39 ,83 ,60.7 ,40 ,22 ,5.7 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
4 ,75 ,59.8 ,48 ,51 ,44.1 ,40 ,81 ,59.5 ,29 ,15 ,6.0 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
5 ,80 ,63.7 ,50 ,48 ,45.0 ,40 ,83 ,55.3 ,25 ,14 ,5.0 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
6 ,85 ,68.2 ,52 ,51 ,43.7 ,40 ,67 ,45.0 ,21 ,8 ,3.0 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
7 ,87 ,70.5 ,58 ,51 ,46.6 ,43 ,62 ,44.4 ,24 ,13 ,4.5 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
8 ,86 ,67.7 ,55 ,57 ,48.0 ,42 ,84 ,53.1 ,21 ,13 ,4.3 ,0 ,29.8 ,29.8 ,29.8 ,0.00 
9 ,73 ,62.6 ,55 ,57 ,47.3 ,41 ,90 ,59.8 ,33 ,15 ,7.4 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
10 ,78 ,65.7 ,55 ,43 ,27.6 ,15 ,64 ,26.5 ,15 ,12 ,5.9 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
11 ,80 ,63.8 ,50 ,39 ,34.2 ,30 ,54 ,35.4 ,17 ,8 ,3.2 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
12 ,79 ,63.3 ,48 ,49 ,39.3 ,35 ,61 ,44.0 ,23 ,10 ,4.4 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
13 ,75 ,60.8 ,50 ,51 ,43.5 ,38 ,80 ,55.9 ,26 ,14 ,4.7 ,0 ,29.8 ,29.8 ,29.8 ,0.00 
14 ,74 ,58.7 ,47 ,55 ,45.3 ,38 ,93 ,65.0 ,28 ,9 ,4.6 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
15 ,71 ,58.0 ,49 ,56 ,51.8 ,46 ,96 ,81.3 ,47 ,10 ,3.7 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
16 ,69 ,59.0 ,50 ,53 ,50.1 ,47 ,90 ,74.0 ,47 ,18 ,3.9 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
17 ,69 ,60.8 ,55 ,58 ,52.0 ,44 ,100 ,75.1 ,40 ,23 ,8.8 ,0 ,30.0 ,29.9 ,29.8 ,0.01 
18 ,70 ,59.0 ,48 ,56 ,49.0 ,46 ,93 ,70.9 ,52 ,18 ,5.3 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
19 ,73 ,58.6 ,48 ,60 ,51.0 ,43 ,93 ,77.1 ,56 ,13 ,5.2 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
20 ,74 ,60.0 ,52 ,55 ,51.1 ,36 ,100 ,77.1 ,25 ,15 ,4.9 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
21 ,83 ,66.0 ,53 ,55 ,51.1 ,48 ,86 ,62.3 ,32 ,13 ,4.7 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
22 ,85 ,69.2 ,54 ,51 ,49.1 ,47 ,80 ,52.8 ,27 ,14 ,5.0 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
23 ,85 ,70.8 ,57 ,53 ,49.1 ,44 ,75 ,49.6 ,25 ,13 ,3.5 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
24 ,90 ,71.8 ,56 ,48 ,41.9 ,37 ,67 ,37.9 ,18 ,6 ,2.5 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
25 ,88 ,70.1 ,57 ,46 ,41.8 ,40 ,56 ,38.5 ,18 ,10 ,4.4 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
26 ,82 ,64.7 ,55 ,58 ,47.0 ,40 ,90 ,56.5 ,22 ,12 ,4.4 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
27 ,71 ,62.6 ,53 ,54 ,27.5 ,19 ,93 ,32.5 ,16 ,26 ,12.5 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
28 ,71 ,58.4 ,46 ,32 ,23.0 ,17 ,41 ,27.3 ,15 ,12 ,5.0 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
29 ,73 ,56.8 ,44 ,34 ,26.6 ,20 ,50 ,33.7 ,18 ,16 ,5.0 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
30 ,70 ,56.6 ,44 ,30 ,23.0 ,10 ,44 ,28.9 ,14 ,12 ,3.9 ,0 ,30.2 ,30.1 ,29.9 ,0.00 
31 ,73 ,56.3 ,43 ,33 ,28.3 ,24 ,55 ,37.0 ,17 ,8 ,3.7 ,0 ,30.2 ,30.1 ,30.1 ,0
