Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Sep ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,74 ,63.8 ,57 ,56 ,54.4 ,52 ,87 ,72.8 ,52 ,13 ,6.1 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
2 ,75 ,64.4 ,60 ,56 ,54.8 ,53 ,81 ,71.7 ,51 ,13 ,6.7 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
3 ,72 ,64.5 ,60 ,57 ,54.8 ,54 ,83 ,71.5 ,57 ,15 ,8.1 ,3 ,30.0 ,30.0 ,29.9 ,0.00 
4 ,81 ,67.0 ,59 ,56 ,54.1 ,51 ,87 ,65.6 ,38 ,12 ,6.4 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
5 ,98 ,79.2 ,61 ,57 ,53.2 ,44 ,78 ,46.1 ,17 ,9 ,3.1 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
6 ,104 ,86.0 ,69 ,56 ,52.6 ,44 ,61 ,34.9 ,18 ,13 ,4.3 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
7 ,103 ,85.5 ,72 ,57 ,50.3 ,40 ,57 ,33.4 ,14 ,20 ,5.8 ,0 ,29.8 ,29.7 ,29.6 ,0.00 
8 ,84 ,71.4 ,65 ,61 ,57.1 ,47 ,81 ,63.5 ,27 ,12 ,6.4 ,0 ,29.7 ,29.6 ,29.6 ,0.00 
9 ,66 ,63.4 ,60 ,59 ,55.6 ,53 ,84 ,75.9 ,65 ,9 ,4.2 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
10 ,68 ,63.1 ,59 ,58 ,56.1 ,54 ,87 ,78.2 ,65 ,7 ,2.8 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
11 ,76 ,63.8 ,57 ,58 ,55.2 ,53 ,88 ,75.2 ,46 ,7 ,1.9 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
12 ,83 ,67.4 ,59 ,59 ,55.2 ,52 ,90 ,67.6 ,34 ,10 ,2.7 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
13 ,72 ,63.9 ,60 ,59 ,56.1 ,54 ,90 ,76.5 ,57 ,10 ,5.7 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
14 ,74 ,63.8 ,60 ,56 ,54.5 ,54 ,83 ,72.5 ,50 ,10 ,4.9 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
15 ,78 ,65.8 ,60 ,59 ,56.4 ,54 ,87 ,73.1 ,45 ,12 ,5.2 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
16 ,80 ,68.8 ,64 ,63 ,60.2 ,58 ,90 ,75.3 ,48 ,14 ,4.7 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
17 ,80 ,70.5 ,66 ,63 ,60.4 ,57 ,87 ,71.6 ,50 ,16 ,6.2 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
18 ,78 ,69.1 ,65 ,60 ,57.4 ,52 ,81 ,67.9 ,42 ,18 ,8.6 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
19 ,80 ,67.4 ,61 ,58 ,56.1 ,54 ,84 ,68.5 ,43 ,14 ,6.1 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
20 ,90 ,73.0 ,59 ,58 ,53.3 ,48 ,78 ,54.1 ,24 ,15 ,4.6 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
21 ,82 ,69.1 ,61 ,58 ,55.4 ,52 ,90 ,64.0 ,38 ,15 ,4.8 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
22 ,81 ,67.8 ,58 ,55 ,53.3 ,50 ,81 ,61.8 ,36 ,20 ,5.6 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
23 ,81 ,68.6 ,58 ,60 ,54.2 ,47 ,79 ,62.2 ,37 ,22 ,6.6 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
24 ,81 ,70.3 ,64 ,61 ,57.9 ,49 ,84 ,66.4 ,43 ,18 ,8.2 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
25 ,76 ,66.0 ,56 ,54 ,51.3 ,48 ,75 ,60.3 ,43 ,20 ,6.3 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
26 ,83 ,69.5 ,59 ,57 ,54.3 ,50 ,75 ,59.8 ,38 ,15 ,5.7 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
27 ,93 ,77.2 ,61 ,58 ,51.3 ,42 ,81 ,46.6 ,20 ,17 ,5.5 ,0 ,29.9 ,29.8 ,29.7 ,0.00 
28 ,99 ,78.8 ,64 ,57 ,47.8 ,35 ,65 ,39.7 ,11 ,12 ,3.6 ,0 ,29.9 ,29.8 ,29.8 ,0.00 
29 ,83 ,70.3 ,63 ,60 ,57.3 ,54 ,84 ,64.7 ,39 ,13 ,5.4 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
30 ,87 ,71.6 ,62 ,59 ,56.1 ,50 ,87 ,62.4 ,30 ,10 ,4.4 ,0 ,30.1 ,30.0 ,29.9 ,0
